Finland, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/09/2023
Year    Age        Total
1974     48         3.00
1974     49         3.00
1974     50         0.00
1974     51         0.00
1974     52         0.00
1974     53         0.00
1974     54         0.00
1974     55+        0.00
1975     12-        0.00
1975     13         1.00
1975     14         9.00
1975     15        65.00
1975     16       268.00
1975     17       823.00
1975     18      1655.00
1975     19      2555.00
1975     20      3239.00
1975     21      3886.00
1975     22      4446.00
1975     23      4927.00
1975     24      5127.50
1975     25      5443.00
1975     26      5392.00
1975     27      5235.00
1975     28      4692.00
1975     29      4157.00
1975     30      2751.00
1975     31      2224.00
1975     32      1635.00
1975     33      1451.00
1975     34      1319.00
1975     35      1098.00
1975     36       882.00
1975     37       680.00
1975     38       483.00
1975     39       404.00
1975     40       288.00
1975     41       205.00
1975     42       142.00
1975     43       104.00
1975     44        72.00
1975     45        31.00
1975     46        20.00
1975     47         9.00
1975     48         1.00
1975     49         0.00
1975     50         0.00
1975     51         0.00
1975     52         0.00
1975     53         0.00
1975     54         0.00
1975     55+        0.00
1976     12-        0.00
1976     13         1.00
1976     14         5.00
1976     15        46.00
1976     16       229.00
1976     17       781.00
1976     18      1500.00
1976     19      2450.00
1976     20      3194.00
1976     21      3756.00
1976     22      4245.00
1976     23      4826.00
1976     24      5014.50
1976     25      5268.00
1976     26      5429.00
1976     27      5369.00
1976     28      4810.00
1976     29      4384.00
1976     30      3811.00
1976     31      2447.00
1976     32      1945.00
1976     33      1484.00
1976     34      1301.00
1976     35      1114.00
1976     36       900.00
1976     37       738.00
1976     38       533.00
1976     39       431.00
1976     40       294.00
1976     41       216.00
1976     42       129.00
1976     43        76.00
1976     44        50.00
1976     45        30.00
1976     46        29.00
1976     47         7.00
1976     48         3.00
1976     49         1.00
1976     50         0.00
1976     51         0.00
1976     52         0.00
1976     53         0.00
1976     54         0.00
1976     55+        0.00
1977     12-        0.00
1977     13         1.00
1977     14         2.00
1977     15        43.00
1977     16       228.00
1977     17       697.00
1977     18      1390.00
1977     19      2228.00
1977     20      2864.00
1977     21      3527.51
1977     22      3974.00
1977     23      4410.00
1977     24      5010.00
1977     25      5232.00
1977     26      4997.00
1977     27      4948.00
1977     28      4820.00
1977     29      4385.00
1977     30      3880.00
1977     31      3283.00
1977     32      2080.00
1977     33      1679.00
1977     34      1304.00
1977     35      1125.00
1977     36       919.00
1977     37       789.00
1977     38       553.00
1977     39       440.00
1977     40       301.00
1977     41       205.00
1977     42       153.00
1977     43        80.00
1977     44        51.00
1977     45        30.00
1977     46        16.00
1977     47        10.00
1977     48         4.00
1977     49         1.00
1977     50         0.00
1977     51         0.00
1977     52         0.00
1977     53         0.00
1977     54         0.00
1977     55+        0.00
1978     12-        0.00
1978     13         1.00
1978     14         8.00
1978     15        37.00
1978     16       187.00
1978     17       616.00
1978     18      1239.49
1978     19      1937.00
1978     20      2621.00
1978     21      3192.49
1978     22      3780.00
1978     23      4313.00
1978     24      4697.00
1978     25      4881.00
1978     26      4888.00
1978     27      4609.00
1978     28      4650.00
1978     29      4366.00
1978     30      3743.00
1978     31      3372.00
1978     32      2903.00
1978     33      1813.00
1978     34      1390.00
1978     35      1104.00
1978     36       935.00
1978     37       758.00
1978     38       625.00
1978     39       492.00
1978     40       321.00
1978     41       215.00
1978     42       128.00
1978     43        72.00
1978     44        43.00
1978     45        22.00
1978     46        15.00
1978     47         5.00
1978     48         2.00
1978     49         2.00
1978     50         1.00
1978     51         0.00
1978     52         0.00
1978     53         0.00
1978     54         0.00
1978     55+        0.00
1979     12-        0.00
1979     13         1.00
1979     14         1.00
1979     15        38.00
1979     16       155.00
1979     17       545.00
1979     18      1066.51
1979     19      1813.00
1979     20      2359.00
1979     21      2995.00
1979     22      3570.00
1979     23      4333.49
1979     24      4573.00
1979     25      4917.00
1979     26      4731.00
1979     27      4581.00
1979     28      4397.00
1979     29      4113.52
1979     30      3827.00
1979     31      3407.00
1979     32      2950.00
1979     33      2479.00
1979     34      1534.00
1979     35      1197.00
1979     36       948.00
1979     37       819.00
1979     38       618.00
1979     39       508.00
1979     40       397.00
1979     41       247.00
1979     42       116.00
1979     43        96.00
1979     44        52.00
1979     45        21.00
1979     46         8.00
1979     47         9.00
1979     48         4.00
1979     49         3.00
1979     50         0.00
1979     51         0.00
1979     52         0.00
1979     53         0.00
1979     54         0.00
1979     55+        0.00
1980     12-        0.00
1980     13         0.00
1980     14         1.00
1980     15        36.00
1980     16       158.00
1980     17       477.00
1980     18      1113.00
1980     19      1743.00
1980     20      2411.49
1980     21      2877.97
1980     22      3416.00
1980     23      4102.51
1980     24      4329.48
1980     25      4765.49
1980     26      4830.00
1980     27      4777.00
1980     28      4335.49
1980     29      3965.48
1980     30      3665.51
1980     31      3333.51
1980     32      2925.00
1980     33      2497.00
1980     34      2143.00
1980     35      1306.00
1980     36      1017.51
1980     37       711.00
1980     38       672.00
1980     39       510.00
1980     40       339.00
1980     41       252.00
1980     42       155.00
1980     43       100.00
1980     44        58.00
1980     45        27.00
1980     46        14.00
1980     47         4.00
1980     48         1.00
1980     49         0.00
1980     50         0.00
1980     51         0.00
1980     52         0.00
1980     53         0.00
1980     54         0.00
1980     55+        0.00
1981     12-        0.00
1981     13         0.00
1981     14         9.00
1981     15        20.00
1981     16       165.46
1981     17       420.00
1981     18       949.46
1981     19      1579.00
1981     20      2213.51
1981     21      2790.94
1981     22      3237.00
1981     23      3787.47
1981     24      4394.48
1981     25      4823.99
1981     26      5003.50
1981     27      4745.49
1981     28      4505.00
1981     29      4155.00
1981     30      3682.50
1981     31      3343.49
1981     32      3021.51
1981     33      2580.00
1981     34      2186.00
1981     35      1828.00
1981     36      1097.49
1981     37       865.06
1981     38       615.00
1981     39       525.00
1981     40       368.00
1981     41       221.00
1981     42       153.00
1981     43        98.00
1981     44        48.00
1981     45        35.00
1981     46         9.00
1981     47         6.00
1981     48         1.00
1981     49         0.00
1981     50         0.00
1981     51         0.00
1981     52         0.00
1981     53         0.00
1981     54         0.00
1981     55+        0.00
1982     12-        0.00
1982     13         0.00
1982     14         4.00
1982     15        25.00
1982     16       138.54
1982     17       416.00
1982     18       891.54
1982     19      1644.00
1982     20      2212.00
1982     21      2740.09
1982     22      3412.00
1982     23      3873.03
1982     24      4480.04
1982     25      4966.01
1982     26      5101.50
1982     27      4992.51
1982     28      4842.03
1982     29      4359.00
1982     30      3941.99
1982     31      3357.00
1982     32      3097.49
1982     33      2693.00
1982     34      2332.00
1982     35      1880.00
1982     36      1605.00
1982     37       890.94
1982     38       672.00
1982     39       477.00
1982     40       400.00
1982     41       265.00
1982     42       174.00
1982     43       118.00
1982     44        64.00
1982     45        30.00
1982     46        15.00
1982     47         5.00
1982     48         1.00
1982     49         1.00
1982     50         0.00
1982     51         0.00
1982     52         0.00
1982     53         0.00
1982     54         0.00
1982     55+        0.00
1983     12-        0.00
1983     13         0.00
1983     14         5.00
1983     15        29.00
1983     16       122.00
1983     17       394.00
1983     18       844.00
1983     19      1458.00
1983     20      2197.00
1983     21      2677.00
1983     22      3104.48
1983     23      3721.50
1983     24      4392.00
1983     25      4829.51
1983     26      5196.00
1983     27      5115.00
1983     28      4705.48
1983     29      4535.00
1983     30      4019.00
1983     31      3699.54
1983     32      3102.00
1983     33      2768.00
1983     34      2418.00
1983     35      2009.00
1983     36      1744.00
1983     37      1394.00
1983     38       760.00
1983     39       591.00
1983     40       373.00
1983     41       284.00
1983     42       157.00
1983     43       115.00
1983     44        49.00
1983     45        29.00
1983     46        16.00
1983     47        10.00
1983     48         3.00
1983     49         2.00
1983     50         0.00
1983     51         0.00
1983     52         0.00
1983     53         0.00
1983     54         0.00
1983     55+        0.00
1984     12-        0.00
1984     13         0.00
1984     14         2.00
1984     15        19.00
1984     16       115.00
1984     17       369.00
1984     18       771.00
1984     19      1415.00
1984     20      1959.50
1984     21      2509.00
1984     22      2990.02
1984     23      3501.00
1984     24      4236.00
1984     25      4530.00
1984     26      4699.51
1984     27      4899.00
1984     28      4829.00
1984     29      4458.00
1984     30      4068.52
1984     31      3489.46
1984     32      3194.00
1984     33      2701.53
1984     34      2335.00
1984     35      2101.00
1984     36      1697.00
1984     37      1421.57
1984     38      1102.00
1984     39       586.00
1984     40       445.00
1984     41       242.00
1984     42       177.00
1984     43       107.00
1984     44        62.00
1984     45        32.00
1984     46        13.00
1984     47         5.00
1984     48         0.00
1984     49         0.00
1984     50         0.00
1984     51         0.00
1984     52         0.00
1984     53         0.00
1984     54         0.00
1984     55+        0.00
1985     12-        0.00
1985     13         1.00
1985     14         3.00
1985     15        25.00
1985     16        94.00
1985     17       330.00
1985     18       635.00
1985     19      1286.00
1985     20      1771.98
1985     21      2348.52
1985     22      2750.49
1985     23      3337.53
1985     24      3916.49
1985     25      4408.50
1985     26      4577.49
1985     27      4710.51
1985     28      4691.02
1985     29      4404.52
1985     30      3984.98
1985     31      3403.02
1985     32      3061.53
1985     33      2672.47
1985     34      2264.05
1985     35      2000.05
1985     36      1766.00
1985     37      1370.43
1985     38      1069.00
1985     39       828.50
1985     40       455.00
1985     41       260.00
1985     42       169.00
1985     43       110.00
1985     44        55.00
1985     45        32.00
1985     46        11.00
1985     47         3.00
1985     48         2.00
1985     49         0.00
1985     50         0.00
1985     51         0.00
1985     52         0.00
1985     53         0.00
1985     54         0.00
1985     55+        0.00
1986     12-        0.00
1986     13         0.00
1986     14         3.00
1986     15        15.00
1986     16        90.00
1986     17       275.41
1986     18       633.00
1986     19      1125.00
1986     20      1678.52
1986     21      2001.46
1986     22      2595.50
1986     23      3068.47
1986     24      3722.51
1986     25      4193.49
1986     26      4547.99
1986     27      4577.99
1986     28      4522.49
1986     29      4372.00
1986     30      3994.50
1986     31      3508.98
1986     32      3074.08
1986     33      2605.00
1986     34      2198.45
1986     35      1895.52
1986     36      1600.05
1986     37      1299.00
1986     38      1032.00
1986     39       823.00
1986     40       518.00
1986     41       284.00
1986     42       184.00
1986     43        99.00
1986     44        62.00
1986     45        29.00
1986     46        17.00
1986     47         6.00
1986     48         2.00
1986     49         0.00
1986     50         1.00
1986     51         0.00
1986     52         0.00
1986     53         0.00
1986     54         0.00
1986     55+        0.00
1987     12-        0.00
1987     13         1.00
1987     14         2.00
1987     15        22.00
1987     16        62.00
1987     17       259.59
1987     18       559.00
1987     19      1019.88
1987     20      1483.01
1987     21      1947.42
1987     22      2386.46
1987     23      2963.40
1987     24      3599.88
1987     25      4121.47
1987     26      4527.48
1987     27      4637.48
1987     28      4437.49
1987     29      4172.45
1987     30      4080.00
1987     31      3622.50
1987     32      2975.39
1987     33      2754.02
1987     34      2259.50
1987     35      1851.95
1987     36      1543.44
1987     37      1288.00
1987     38      1036.59
1987     39       794.50
1987     40       598.50
1987     41       406.00
1987     42       203.00
1987     43       126.00
1987     44        54.00
1987     45        34.00
1987     46         7.00
1987     47         5.00
1987     48         3.00
1987     49         0.00
1987     50         0.00
1987     51         0.00
1987     52         0.00
1987     53         0.00
1987     54         0.00
1987     55+        0.00
1988     12-        0.00
1988     13         1.00
1988     14         1.00
1988     15        22.00
1988     16        79.00
1988     17       244.00
1988     18       507.00
1988     19      1026.42
1988     20      1497.99
1988     21      1939.09
1988     22      2445.31
1988     23      3091.50
1988     24      3718.09
1988     25      4343.95
1988     26      4819.54
1988     27      5012.00
1988     28      4903.51
1988     29      4532.55
1988     30      4185.01
1988     31      3841.58
1988     32      3397.51
1988     33      2830.50
1988     34      2443.54
1988     35      2079.48
1988     36      1679.09
1988     37      1285.73
1988     38      1025.41
1988     39       819.25
1988     40       630.08
1988     41       392.00
1988     42       283.00
1988     43       124.00
1988     44        61.00
1988     45        33.00
1988     46        24.00
1988     47         8.00
1988     48         1.00
1988     49         0.00
1988     50         1.00
1988     51         0.00
1988     52         0.00
1988     53         0.00
1988     54         0.00
1988     55+        0.00
1989     12-        0.00
1989     13         0.00
1989     14         1.00
1989     15        19.00
1989     16        63.00
1989     17       231.00
1989     18       477.00
1989     19       954.70
1989     20      1374.46
1989     21      1911.90
1989     22      2429.69
1989     23      3022.10
1989     24      3651.51
1989     25      4478.51
1989     26      4697.40
1989     27      4947.01
1989     28      5067.98
1989     29      4731.48
1989     30      4349.98
1989     31      3820.97
1989     32      3397.49
1989     33      2910.52
1989     34      2483.95
1989     35      2114.00
1989     36      1585.42
1989     37      1265.27
1989     38       960.00
1989     39       835.37
1989     40       627.47
1989     41       394.00
1989     42       275.00
1989     43       161.00
1989     44        61.00
1989     45        34.00
1989     46         9.00
1989     47         9.00
1989     48         1.00
1989     49         0.00
1989     50         1.00
1989     51         0.00
1989     52         0.00
1989     53         0.00
1989     54         0.00
1989     55+        0.00
1990     12-        0.00
1990     13         0.00
1990     14         3.00
1990     15        19.00
1990     16        84.00
1990     17       259.00
1990     18       471.43
1990     19       992.00
1990     20      1457.54
1990     21      1870.10
1990     22      2336.54
1990     23      3007.00
1990     24      3558.91
1990     25      4354.57
1990     26      4916.05
1990     27      5176.52
1990     28      5207.99
1990     29      4948.00
1990     30      4574.96
1990     31      4020.99
1990     32      3472.51
1990     33      3013.50
1990     34      2655.02
1990     35      2265.07
1990     36      1792.55
1990     37      1421.49
1990     38      1070.00
1990     39       831.92
1990     40       688.50
1990     41       426.00
1990     42       301.00
1990     43       168.00
1990     44       111.00
1990     45        33.00
1990     46        19.00
1990     47         3.00
1990     48         1.00
1990     49         0.00
1990     50         0.00
1990     51         0.00
1990     52         0.00
1990     53         0.00
1990     54         0.00
1990     55+        0.00
1991     12-        0.00
1991     13         0.00
1991     14        10.00
1991     15        18.00
1991     16        99.00
1991     17       256.00
1991     18       486.57
1991     19       966.00
1991     20      1332.48
1991     21      1779.45
1991     22      2277.02
1991     23      2909.00
1991     24      3721.08
1991     25      4400.02
1991     26      4842.54
1991     27      5173.94
1991     28      5178.42
1991     29      4972.00
1991     30      4644.13
1991     31      4215.54
1991     32      3470.52
1991     33      3047.52
1991     34      2663.50
1991     35      2230.99
1991     36      1771.51
1991     37      1439.51
1991     38      1089.00
1991     39       801.46
1991     40       566.45
1991     41       419.00
1991     42       309.00
1991     43       168.00
1991     44        88.00
1991     45        49.00
1991     46         8.00
1991     47         4.00
1991     48         1.00
1991     49         0.00
1991     50         0.00
1991     51         0.00
1991     52         0.00
1991     53         0.00
1991     54         0.00
1991     55+        0.00
1992     12-        0.00
1992     13         0.00
1992     14         5.25
1992     15        15.00
1992     16       106.00
1992     17       264.00
1992     18       507.45
1992     19       901.45
1992     20      1319.01
1992     21      1755.06
1992     22      2210.92
1992     23      2841.80
1992     24      3614.30
1992     25      4294.13
1992     26      4974.50
1992     27      5296.47
1992     28      5490.63
1992     29      5224.15
1992     30      4779.49
1992     31      4287.15
1992     32      3741.55
1992     33      3193.55
1992     34      2613.56
1992     35      2280.51
1992     36      1896.51
1992     37      1441.00
1992     38      1152.62
1992     39       849.97
1992     40       617.69
1992     41       432.00
1992     42       294.54
1992     43       193.00
1992     44        87.28
1992     45        55.00
1992     46        31.00
1992     47         3.00
1992     48         1.00
1992     49         0.00
1992     50         0.00
1992     51         0.00
1992     52         0.00
1992     53         0.00
1992     54         0.00
1992     55+        0.00
1993     12-        0.00
1993     13         0.00
1993     14         3.75
1993     15        17.00
1993     16        87.00
1993     17       241.49
1993     18       465.55
1993     19       842.55
1993     20      1204.51
1993     21      1613.95
1993     22      2117.06
1993     23      2615.63
1993     24      3432.67
1993     25      4157.24
1993     26      4833.04
1993     27      5081.03
1993     28      5234.55
1993     29      5144.37
1993     30      4879.55
1993     31      4245.38
1993     32      3803.43
1993     33      3139.43
1993     34      2640.99
1993     35      2208.44
1993     36      1787.51
1993     37      1486.53
1993     38      1075.94
1993     39       868.03
1993     40       615.31
1993     41       394.60
1993     42       266.46
1993     43       170.00
1993     44       102.72
1993     45        49.00
1993     46        14.00
1993     47        17.00
1993     48         1.00
1993     49         1.00
1993     50         1.00
1993     51         0.00
1993     52         0.00
1993     53         0.00
1993     54         0.00
1993     55+        0.00
1994     12-        0.00
1994     13         2.00
1994     14         1.00
1994     15        13.00
1994     16        66.00
1994     17       197.51
1994     18       427.00
1994     19       900.46
1994     20      1222.00
1994     21      1564.55
1994     22      2006.51
1994     23      2604.57
1994     24      3203.56
1994     25      4056.62
1994     26      4786.12
1994     27      4948.57
1994     28      5091.44
1994     29      5190.59
1994     30      4874.95
1994     31      4504.94
1994     32      3923.03
1994     33      3389.97
1994     34      2809.99
1994     35      2347.99
1994     36      1905.42
1994     37      1519.47
1994     38      1152.58
1994     39       849.50
1994     40       602.00
1994     41       387.40
1994     42       292.00
1994     43       177.00
1994     44        96.00
1994     45        44.00
1994     46        28.00
1994     47         8.00
1994     48         5.00
1994     49         1.00
1994     50         1.00
1994     51         1.00
1994     52         0.00
1994     53         0.00
1994     54         0.00
1994     55+        0.00
1995     12-        0.00
1995     13         0.00
1995     14         3.00
1995     15        13.00
1995     16        67.00
1995     17       196.00
1995     18       429.00
1995     19       859.99
1995     20      1244.48
1995     21      1470.80
1995     22      1871.00
1995     23      2363.97
1995     24      2903.02
1995     25      3640.00
1995     26      4117.86
1995     27      4878.08
1995     28      4903.50
1995     29      4944.96
1995     30      4725.96
1995     31      4555.60
1995     32      3905.66
1995     33      3410.50
1995     34      2955.01
1995     35      2315.54
1995     36      1932.03
1995     37      1508.05
1995     38      1152.89
1995     39       965.50
1995     40       650.00
1995     41       468.00
1995     42       275.00
1995     43       167.04
1995     44        89.00
1995     45        55.00
1995     46        22.00
1995     47         9.00
1995     48         1.00
1995     49         2.00
1995     50         0.00
1995     51         0.00
1995     52         0.00
1995     53         0.00
1995     54         0.00
1995     55+        0.00
1996     12-        1.00
1996     13         0.00
1996     14         2.00
1996     15        12.00
1996     16        75.00
1996     17       218.00
1996     18       424.00
1996     19       827.98
1996     20      1264.52
1996     21      1617.70
1996     22      1872.00
1996     23      2093.95
1996     24      2727.95
1996     25      3325.96
1996     26      3848.00
1996     27      4276.88
1996     28      4763.48
1996     29      4704.97
1996     30      4601.10
1996     31      4187.37
1996     32      3870.92
1996     33      3362.68
1996     34      2894.55
1996     35      2415.08
1996     36      1956.62
1996     37      1538.50
1996     38      1207.49
1996     39       944.55
1996     40       674.00
1996     41       412.61
1996     42       275.00
1996     43       159.41
1996     44        85.00
1996     45        43.00
1996     46        24.00
1996     47        10.00
1996     48         5.00
1996     49         0.00
1996     50         0.00
1996     51         0.00
1996     52         0.00
1996     53         0.00
1996     54         0.00
1996     55+        0.00
1997     12-        0.00
1997     13         0.00
1997     14         4.00
1997     15        10.00
1997     16        56.00
1997     17       174.00
1997     18       359.00
1997     19       842.02
1997     20      1268.03
1997     21      1610.46
1997     22      1860.00
1997     23      2231.08
1997     24      2568.54
1997     25      3181.09
1997     26      3537.46
1997     27      4050.09
1997     28      4392.99
1997     29      4653.05
1997     30      4425.37
1997     31      4143.02
1997     32      3715.34
1997     33      3388.91
1997     34      2884.44
1997     35      2409.43
1997     36      2077.06
1997     37      1589.55
1997     38      1236.48
1997     39       876.42
1997     40       675.96
1997     41       434.39
1997     42       293.00
1997     43       166.55
1997     44       109.00
1997     45        55.00
1997     46        26.00
1997     47        17.00
1997     48         7.00
1997     49         3.00
1997     50         0.00
1997     51         0.00
1997     52         0.00
1997     53         0.00
1997     54         0.00
1997     55+        0.00
1998     12-        0.00
1998     13         0.00
1998     14         4.00
1998     15        19.00
1998     16        59.00
1998     17       172.40
1998     18       407.00
1998     19       823.55
1998     20      1162.42
1998     21      1533.54
1998     22      1914.00
1998     23      2262.13
1998     24      2503.96
1998     25      2787.45
1998     26      3382.01
1998     27      3736.92
1998     28      3937.58
1998     29      4109.99
1998     30      4317.57
1998     31      4046.01
1998     32      3663.07
1998     33      3347.99
1998     34      2862.09
1998     35      2438.09
1998     36      2033.34
1998     37      1548.55
1998     38      1195.54
1998     39      1000.57
1998     40       667.57
1998     41       466.00
1998     42       313.00
1998     43       179.00
1998     44        94.00
1998     45        52.00
1998     46        34.00
1998     47        14.00
1998     48         3.00
1998     49         1.00
1998     50         0.00
1998     51         0.00
1998     52         1.00
1998     53         0.00
1998     54         0.00
1998     55+        0.00
1999     12-        0.00
1999     13         0.00
1999     14         4.00
1999     15        16.00
1999     16        80.00
1999     17       171.60
1999     18       410.00
1999     19       879.00
1999     20      1267.55
1999     21      1579.50
1999     22      1961.47
1999     23      2277.78
1999     24      2719.50
1999     25      2896.49
1999     26      3139.51
1999     27      3632.01
1999     28      3832.43
1999     29      3995.46
1999     30      4128.93
1999     31      4162.55
1999     32      3737.15
1999     33      3305.96
1999     34      2856.87
1999     35      2459.88
1999     36      2186.50
1999     37      1662.48
1999     38      1362.02
1999     39      1000.01
1999     40       702.47
1999     41       469.00
1999     42       299.00
1999     43       200.00
1999     44        90.00
1999     45        48.00
1999     46        19.00
1999     47        12.00
1999     48         5.00
1999     49         1.00
1999     50         1.00
1999     51         0.00
1999     52         0.00
1999     53         0.00
1999     54         0.00
1999     55+        0.00
2000     12-        0.00
2000     13         0.00
2000     14         3.00
2000     15        25.00
2000     16        86.00
2000     17       238.00
2000     18       439.00
2000     19       827.00
2000     20      1272.40
2000     21      1547.43
2000     22      1897.97
2000     23      2284.57
2000     24      2690.48
2000     25      3107.00
2000     26      3257.01
2000     27      3363.01
2000     28      3684.01
2000     29      3813.46
2000     30      3881.57
2000     31      3921.47
2000     32      3651.82
2000     33      3341.48
2000     34      2927.04
2000     35      2538.10
2000     36      2112.95
2000     37      1646.99
2000     38      1305.44
2000     39      1019.00
2000     40       712.57
2000     41       449.00
2000     42       291.00
2000     43       200.00
2000     44       100.00
2000     45        51.00
2000     46        23.00
2000     47        15.00
2000     48         2.00
2000     49         2.00
2000     50         3.00
2000     51         0.00
2000     52         0.00
2000     53         0.00
2000     54         0.00
2000     55+        0.00
2001     12-        0.00
2001     13         1.00
2001     14         5.00
2001     15        28.00
2001     16        74.00
2001     17       242.00
2001     18       468.00
2001     19       902.00
2001     20      1223.60
2001     21      1476.55
2001     22      1875.06
2001     23      2252.42
2001     24      2715.55
2001     25      3217.01
2001     26      3368.98
2001     27      3487.49
2001     28      3422.49
2001     29      3695.49
2001     30      3687.93
2001     31      3585.58
2001     32      3510.10
2001     33      3332.01
2001     34      2914.50
2001     35      2536.91
2001     36      2128.65
2001     37      1697.37
2001     38      1396.00
2001     39      1035.00
2001     40       736.06
2001     41       496.00
2001     42       267.00
2001     43       199.00
2001     44       111.00
2001     45        51.00
2001     46        25.00
2001     47         8.00
2001     48         9.00
2001     49         1.00
2001     50         2.00
2001     51         0.00
2001     52         1.00
2001     53         0.00
2001     54         0.00
2001     55+        0.00
2002     12-        0.00
2002     13         0.00
2002     14         3.00
2002     15        23.00
2002     16        74.00
2002     17       257.00
2002     18       477.00
2002     19       951.41
2002     20      1258.00
2002     21      1500.04
2002     22      1746.97
2002     23      2101.10
2002     24      2522.00
2002     25      3169.01
2002     26      3445.01
2002     27      3572.46
2002     28      3631.51
2002     29      3498.47
2002     30      3769.50
2002     31      3469.36
2002     32      3257.90
2002     33      3168.54
2002     34      2896.56
2002     35      2577.57
2002     36      2080.35
2002     37      1701.15
2002     38      1363.51
2002     39      1091.48
2002     40       733.37
2002     41       508.43
2002     42       301.00
2002     43       185.60
2002     44       103.65
2002     45        51.00
2002     46        43.00
2002     47        11.00
2002     48         8.00
2002     49         4.00
2002     50         0.00
2002     51         0.00
2002     52         0.00
2002     53         0.00
2002     54         0.00
2002     55+        0.00
2003     12-        0.00
2003     13         1.00
2003     14         3.00
2003     15        18.00
2003     16        68.31
2003     17       218.00
2003     18       449.42
2003     19       875.03
2003     20      1299.00
2003     21      1484.98
2003     22      1770.53
2003     23      2082.03
2003     24      2520.48
2003     25      3026.47
2003     26      3512.01
2003     27      3963.59
2003     28      3958.46
2003     29      3791.04
2003     30      3554.49
2003     31      3706.61
2003     32      3338.00
2003     33      3069.45
2003     34      2808.46
2003     35      2622.40
2003     36      2190.47
2003     37      1728.90
2003     38      1339.54
2003     39      1102.97
2003     40       800.00
2003     41       534.57
2003     42       349.00
2003     43       206.40
2003     44       115.35
2003     45        60.00
2003     46        27.00
2003     47         9.00
2003     48         1.00
2003     49         1.00
2003     50         2.00
2003     51         1.00
2003     52         0.00
2003     53         0.00
2003     54         0.00
2003     55+        0.00
2004     12-        0.00
2004     13         0.00
2004     14         4.00
2004     15        21.00
2004     16        60.69
2004     17       227.46
2004     18       422.58
2004     19       923.56
2004     20      1322.00
2004     21      1624.50
2004     22      1892.00
2004     23      2021.44
2004     24      2553.92
2004     25      2904.96
2004     26      3507.90
2004     27      3903.43
2004     28      4189.49
2004     29      4161.03
2004     30      3837.05
2004     31      3467.91
2004     32      3422.00
2004     33      3147.02
2004     34      2863.51
2004     35      2548.08
2004     36      2251.53
2004     37      1782.00
2004     38      1427.51
2004     39      1085.00
2004     40       844.00
2004     41       564.49
2004     42       369.00
2004     43       189.00
2004     44        93.00
2004     45        57.00
2004     46        27.00
2004     47        12.00
2004     48         5.00
2004     49         2.00
2004     50         4.00
2004     51         0.00
2004     52         0.00
2004     53         0.00
2004     54         0.00
2004     55+        0.00
2005     12-        0.00
2005     13         0.00
2005     14         5.00
2005     15        20.00
2005     16        71.00
2005     17       183.54
2005     18       409.00
2005     19       918.00
2005     20      1276.37
2005     21      1626.00
2005     22      1933.51
2005     23      2123.53
2005     24      2403.60
2005     25      2808.46
2005     26      3464.54
2005     27      3882.01
2005     28      4199.07
2005     29      4440.97
2005     30      4121.44
2005     31      3747.96
2005     32      3289.00
2005     33      3016.45
2005     34      2772.42
2005     35      2368.92
2005     36      2211.00
2005     37      1838.46
2005     38      1390.44
2005     39      1101.00
2005     40       805.58
2005     41       537.51
2005     42       349.00
2005     43       224.00
2005     44        87.00
2005     45        57.00
2005     46        36.00
2005     47         8.00
2005     48         5.00
2005     49         5.00
2005     50         0.00
2005     51         0.00
2005     52         0.00
2005     53         0.00
2005     54         0.00
2005     55+        0.00
2006     12-        0.00
2006     13         0.00
2006     14         3.00
2006     15         6.00
2006     16        76.00
2006     17       201.00
2006     18       365.00
2006     19       843.00
2006     20      1206.13
2006     21      1573.00
2006     22      1902.49
2006     23      2218.49
2006     24      2604.00
2006     25      3000.12
2006     26      3502.55
2006     27      3789.51
2006     28      4139.97
2006     29      4456.00
2006     30      4382.49
2006     31      4088.51
2006     32      3606.54
2006     33      3012.00
2006     34      2829.50
2006     35      2467.53
2006     36      2058.00
2006     37      1771.00
2006     38      1520.00
2006     39      1080.00
2006     40       812.42
2006     41       565.00
2006     42       348.00
2006     43       196.00
2006     44       115.00
2006     45        55.00
2006     46        19.00
2006     47         9.00
2006     48         2.00
2006     49         0.00
2006     50         0.00
2006     51         0.00
2006     52         4.00
2006     53         0.00
2006     54         0.00
2006     55+        0.00
2007     12-        0.00
2007     13         0.00
2007     14         2.00
2007     15        13.00
2007     16        62.00
2007     17       193.00
2007     18       355.00
2007     19       841.00
2007     20      1147.50
2007     21      1550.00
2007     22      1851.00
2007     23      2266.51
2007     24      2652.00
2007     25      2996.48
2007     26      3441.50
2007     27      3768.50
2007     28      4077.97
2007     29      4383.48
2007     30      4309.05
2007     31      4234.54
2007     32      3751.46
2007     33      3241.55
2007     34      2671.05
2007     35      2491.47
2007     36      2088.52
2007     37      1657.55
2007     38      1410.00
2007     39      1075.53
2007     40       856.00
2007     41       550.00
2007     42       373.00
2007     43       212.00
2007     44       104.57
2007     45        52.00
2007     46        28.00
2007     47        12.00
2007     48         5.00
2007     49         1.00
2007     50         3.00
2007     51         0.00
2007     52         0.00
2007     53         0.00
2007     54         0.00
2007     55+        0.00
2008     12-        0.00
2008     13         0.00
2008     14         4.00
2008     15        10.00
2008     16        45.00
2008     17       174.00
2008     18       366.00
2008     19       810.45
2008     20      1198.00
2008     21      1526.00
2008     22      1780.00
