"Country","Year","Age","ASFR"
"FIN",1943,52,2e-04
"FIN",1943,53,0.00016
"FIN",1943,54,0
"FIN",1943,55,0
"FIN",1944,12,0
"FIN",1944,13,0
"FIN",1944,14,3e-05
"FIN",1944,15,0.00024
"FIN",1944,16,0.00136
"FIN",1944,17,0.00468
"FIN",1944,18,0.01513
"FIN",1944,19,0.03269
"FIN",1944,20,0.0578
"FIN",1944,21,0.08653
"FIN",1944,22,0.10797
"FIN",1944,23,0.12677
"FIN",1944,24,0.13766
"FIN",1944,25,0.14211
"FIN",1944,26,0.14133
"FIN",1944,27,0.1442
"FIN",1944,28,0.1399
"FIN",1944,29,0.13727
"FIN",1944,30,0.13356
"FIN",1944,31,0.12791
"FIN",1944,32,0.12662
"FIN",1944,33,0.11865
"FIN",1944,34,0.11192
"FIN",1944,35,0.10136
"FIN",1944,36,0.09589
"FIN",1944,37,0.08879
"FIN",1944,38,0.08065
"FIN",1944,39,0.07222
"FIN",1944,40,0.0631
"FIN",1944,41,0.04903
"FIN",1944,42,0.04115
"FIN",1944,43,0.03048
"FIN",1944,44,0.02189
"FIN",1944,45,0.01353
"FIN",1944,46,0.00695
"FIN",1944,47,0.00278
"FIN",1944,48,0.00152
"FIN",1944,49,0.00093
"FIN",1944,50,0.00025
"FIN",1944,51,1e-04
"FIN",1944,52,0
"FIN",1944,53,0
"FIN",1944,54,0
"FIN",1944,55,0
"FIN",1945,12,0
"FIN",1945,13,0
"FIN",1945,14,3e-05
"FIN",1945,15,0.00018
"FIN",1945,16,0.00103
"FIN",1945,17,0.00497
"FIN",1945,18,0.01775
"FIN",1945,19,0.04268
"FIN",1945,20,0.07527
"FIN",1945,21,0.10715
"FIN",1945,22,0.13543
"FIN",1945,23,0.16547
"FIN",1945,24,0.17472
"FIN",1945,25,0.192
"FIN",1945,26,0.17764
"FIN",1945,27,0.17848
"FIN",1945,28,0.17453
"FIN",1945,29,0.17219
"FIN",1945,30,0.16402
"FIN",1945,31,0.15412
"FIN",1945,32,0.1465
"FIN",1945,33,0.13872
"FIN",1945,34,0.12681
"FIN",1945,35,0.11848
"FIN",1945,36,0.1094
"FIN",1945,37,0.09692
"FIN",1945,38,0.08603
"FIN",1945,39,0.07925
"FIN",1945,40,0.06852
"FIN",1945,41,0.05381
"FIN",1945,42,0.04192
"FIN",1945,43,0.02943
"FIN",1945,44,0.02166
"FIN",1945,45,0.01294
"FIN",1945,46,0.00597
"FIN",1945,47,0.00315
"FIN",1945,48,0.00178
"FIN",1945,49,0.00032
"FIN",1945,50,0.00028
"FIN",1945,51,2e-04
"FIN",1945,52,2e-04
"FIN",1945,53,0.00013
"FIN",1945,54,6e-05
"FIN",1945,55,3e-05
"FIN",1946,12,0
"FIN",1946,13,0
"FIN",1946,14,0
"FIN",1946,15,0.00018
"FIN",1946,16,0.002
"FIN",1946,17,0.00925
"FIN",1946,18,0.03029
"FIN",1946,19,0.06533
"FIN",1946,20,0.10239
"FIN",1946,21,0.14141
"FIN",1946,22,0.1625
"FIN",1946,23,0.182
"FIN",1946,24,0.19342
"FIN",1946,25,0.20572
"FIN",1946,26,0.19429
