"Country","Year","Age","ASFR","ASFR1","ASFR2","ASFR3","ASFR4","ASFR5p"
"FIN",1982,12,0,0,0,0,0,0
"FIN",1982,13,0,0,0,0,0,0
"FIN",1982,14,0.00011,0.00011,0,0,0,0
"FIN",1982,15,0.00069,0.00067,3e-05,0,0,0
"FIN",1982,16,0.00382,0.00377,6e-05,0,0,0
"FIN",1982,17,0.01125,0.01082,0.00043,0,0,0
"FIN",1982,18,0.02376,0.0221,0.00163,3e-05,0,0
"FIN",1982,19,0.04393,0.03713,0.00639,4e-04,0,0
"FIN",1982,20,0.05961,0.04693,0.01187,0.00078,3e-05,0
"FIN",1982,21,0.07454,0.05044,0.02164,0.00238,8e-05,0
"FIN",1982,22,0.09248,0.05697,0.03075,0.00435,0.00038,3e-05
"FIN",1982,23,0.10686,0.06232,0.03698,0.00664,8e-04,0.00011
"FIN",1982,24,0.12172,0.06495,0.04495,0.01022,0.00136,0.00025
"FIN",1982,25,0.13073,0.06625,0.05029,0.01176,0.00193,5e-04
"FIN",1982,26,0.13106,0.05987,0.05387,0.01428,0.00216,0.00088
"FIN",1982,27,0.12822,0.05007,0.0558,0.01797,0.00327,0.00111
"FIN",1982,28,0.12347,0.04308,0.05641,0.0183,0.00381,0.00187
"FIN",1982,29,0.10952,0.03354,0.04974,0.02058,0.00382,0.00184
"FIN",1982,30,0.0992,0.026,0.0444,0.02155,0.00482,0.00242
"FIN",1982,31,0.08355,0.01843,0.03612,0.02133,0.00474,0.00294
"FIN",1982,32,0.07414,0.01484,0.03067,0.02009,0.00577,0.00275
"FIN",1982,33,0.06178,0.01057,0.0244,0.01803,0.00558,0.00319
"FIN",1982,34,0.05307,0.0087,0.01915,0.01658,0.0051,0.00353
"FIN",1982,35,0.04301,0.00674,0.01451,0.01377,0.00455,0.00343
"FIN",1982,36,0.03622,0.00499,0.01088,0.01202,0.00486,0.00346
"FIN",1982,37,0.02738,0.00382,0.00708,0.00889,0.00434,0.00326
"FIN",1982,38,0.02151,0.00308,0.0051,0.00625,0.00337,0.00372
"FIN",1982,39,0.01741,0.00194,0.00441,0.005,0.00314,0.00291
"FIN",1982,40,0.01334,0.00133,0.00344,0.00324,0.00197,0.00336
"FIN",1982,41,0.00889,0.00128,0.00165,0.00213,0.00125,0.00257
"FIN",1982,42,0.00581,0.00074,0.00071,0.00166,0.00094,0.00175
"FIN",1982,43,0.00393,0.00053,5e-04,0.00073,0.00066,0.0015
"FIN",1982,44,0.00221,0.00027,0.00034,0.00031,7e-05,0.00122
"FIN",1982,45,0.0011,3e-05,7e-05,0.00015,0.00015,7e-04
"FIN",1982,46,0.00055,0,1e-04,0.00016,3e-05,0.00025
"FIN",1982,47,0.00019,0,4e-05,0,4e-05,0.00011
"FIN",1982,48,4e-05,0,0,0,0,4e-05
"FIN",1982,49,4e-05,1e-05,1e-05,1e-05,1e-05,1e-05
"FIN",1982,50,0,0,0,0,0,0
"FIN",1982,51,0,0,0,0,0,0
"FIN",1982,52,0,0,0,0,0,0
"FIN",1982,53,0,0,0,0,0,0
"FIN",1982,54,0,0,0,0,0,0
"FIN",1982,55,0,0,0,0,0,0
"FIN",1983,12,0,0,0,0,0,0
"FIN",1983,13,0,0,0,0,0,0
"FIN",1983,14,0.00015,0.00015,0,0,0,0
"FIN",1983,15,0.00082,0.00082,0,0,0,0
"FIN",1983,16,0.00339,0.00336,3e-05,0,0,0
"FIN",1983,17,0.01088,0.01046,0.00042,0,0,0
"FIN",1983,18,0.02285,0.02082,0.00199,3e-05,0,0
"FIN",1983,19,0.03897,0.03275,0.00614,8e-05,0,0
"FIN",1983,20,0.05879,0.04511,0.01259,0.00103,6e-05,0
"FIN",1983,21,0.07217,0.04889,0.02096,0.00211,0.00022,0
"FIN",1983,22,0.08447,0.05219,0.02727,0.00445,0.00046,8e-05
"FIN",1983,23,0.10076,0.05808,0.03482,0.00674,0.00101,0.00011
"FIN",1983,24,0.12105,0.06487,0.04411,0.01016,0.0016,3e-04
"FIN",1983,25,0.13099,0.06563,0.05004,0.01303,0.00177,0.00052
"FIN",1983,26,0.13651,0.05968,0.0572,0.01559,0.00317,0.00087
"FIN",1983,27,0.13102,0.05158,0.0567,0.01787,0.00362,0.00126
