"Country","Year","Age","ASFR","ASFR1","ASFR2","ASFR3","ASFR4","ASFR5p"
"FIN",1988,52,0,0,0,0,0,0
"FIN",1988,53,0,0,0,0,0,0
"FIN",1988,54,0,0,0,0,0,0
"FIN",1988,55,0,0,0,0,0,0
"FIN",1989,12,0,0,0,0,0,0
"FIN",1989,13,0,0,0,0,0,0
"FIN",1989,14,3e-05,3e-05,0,0,0,0
"FIN",1989,15,0.00065,0.00062,3e-05,0,0,0
"FIN",1989,16,0.00227,0.00213,0.00014,0,0,0
"FIN",1989,17,0.00789,0.00755,0.00034,0,0,0
"FIN",1989,18,0.01569,0.0143,0.00138,0,0,0
"FIN",1989,19,0.0307,0.02574,0.00474,0.00023,0,0
"FIN",1989,20,0.04171,0.03211,0.00894,0.00067,0,0
"FIN",1989,21,0.05433,0.03777,0.01484,0.00169,3e-05,0
"FIN",1989,22,0.06815,0.04337,0.02048,0.00387,0.00039,3e-05
"FIN",1989,23,0.08424,0.0508,0.02617,0.00604,0.00118,6e-05
"FIN",1989,24,0.0999,0.05615,0.03323,0.00882,0.00137,0.00033
"FIN",1989,25,0.12087,0.06362,0.04194,0.01202,0.00262,0.00068
"FIN",1989,26,0.12666,0.06157,0.04617,0.01462,0.00308,0.00123
"FIN",1989,27,0.134,0.06033,0.05113,0.01763,0.00347,0.00144
"FIN",1989,28,0.1379,0.05498,0.0549,0.02077,0.00506,0.00218
"FIN",1989,29,0.12789,0.04376,0.05343,0.02272,0.00527,0.0027
"FIN",1989,30,0.11962,0.03533,0.04883,0.02605,0.00622,0.00319
"FIN",1989,31,0.10329,0.02691,0.0415,0.02521,0.00639,0.00328
"FIN",1989,32,0.08887,0.02049,0.03298,0.02462,0.00715,0.00364
"FIN",1989,33,0.07426,0.01425,0.02749,0.02154,0.00687,0.00411
"FIN",1989,34,0.06349,0.01136,0.02293,0.01841,0.00684,0.00395
"FIN",1989,35,0.05366,0.01009,0.01636,0.01702,0.00655,0.00363
"FIN",1989,36,0.03966,0.00627,0.01164,0.01304,0.00518,0.00353
"FIN",1989,37,0.03169,0.00483,0.00931,0.00964,0.00449,0.00341
"FIN",1989,38,0.0238,0.00405,0.0069,0.00707,0.003,0.00278
"FIN",1989,39,0.01995,0.00294,0.00498,0.00542,0.003,0.00361
"FIN",1989,40,0.0144,0.00193,0.00347,0.00447,0.00197,0.00257
"FIN",1989,41,0.00899,0.00112,0.0018,0.00262,0.00135,0.0021
"FIN",1989,42,0.00631,0.00089,0.0011,0.00156,0.00105,0.0017
"FIN",1989,43,0.00365,3e-04,0.00066,0.00059,8e-04,0.0013
"FIN",1989,44,0.00189,0.00015,0.00031,0.00022,0.00043,0.00077
"FIN",1989,45,0.0011,6e-05,0.00013,0.00035,1e-04,0.00045
"FIN",1989,46,0.00033,4e-05,7e-05,0,0.00011,0.00011
"FIN",1989,47,3e-04,0,0,3e-05,7e-05,2e-04
"FIN",1989,48,3e-05,0,0,0,3e-05,0
"FIN",1989,49,0,0,0,0,0,0
"FIN",1989,50,3e-05,0,0,0,3e-05,0
"FIN",1989,51,0,0,0,0,0,0
"FIN",1989,52,0,0,0,0,0,0
"FIN",1989,53,0,0,0,0,0,0
"FIN",1989,54,0,0,0,0,0,0
"FIN",1989,55,0,0,0,0,0,0
"FIN",1990,12,0,0,0,0,0,0
"FIN",1990,13,0,0,0,0,0,0
"FIN",1990,14,9e-05,9e-05,0,0,0,0
"FIN",1990,15,0.00061,0.00061,0,0,0,0
"FIN",1990,16,0.00289,0.00289,0,0,0,0
"FIN",1990,17,0.00934,0.00872,0.00061,0,0,0
"FIN",1990,18,0.01609,0.01469,0.00126,0.00014,0,0
"FIN",1990,19,0.03265,0.02887,0.00372,7e-05,0,0
"FIN",1990,20,0.04687,0.03725,0.00894,0.00068,0,0
"FIN",1990,21,0.05672,0.03957,0.01514,0.00196,6e-05,0
"FIN",1990,22,0.06631,0.04262,0.02004,0.00343,0.00023,0
"FIN",1990,23,0.08421,0.05245,0.02565,0.00538,0.00067,6e-05
"FIN",1990,24,0.09909,0.05652,0.03249,0.00855,0.00117,0.00036
"FIN",1990,25,0.11906,0.06501,0.03933,0.01136,0.00254,0.00082
"FIN",1990,26,0.13248,0.06726,0.04519,0.01532,0.00337,0.00134
"FIN",1990,27,0.13929,0.06108,0.05419,0.01842,0.00355,0.00204
"FIN",1990,28,0.14074,0.05614,0.05532,0.02215,0.00484,0.0023
"FIN",1990,29,0.13435,0.04506,0.05449,0.02578,0.00643,0.00258
"FIN",1990,30,0.12339,0.03795,0.04783,0.02797,0.00682,0.00282
"FIN",1990,31,0.11031,0.02871,0.04333,0.02735,0.00743,0.00348
"FIN",1990,32,0.09366,0.02147,0.03531,0.0262,0.00677,0.00391
"FIN",1990,33,0.07869,0.01571,0.02695,0.02384,0.00794,0.00426
"FIN",1990,34,0.06765,0.0127,0.02293,0.0206,0.0079,0.00352
"FIN",1990,35,0.05784,0.00995,0.01816,0.0184,0.0069,0.00444
"FIN",1990,36,0.04544,0.00814,0.01359,0.01349,0.00611,0.00412
"FIN",1990,37,0.03552,0.00555,0.00866,0.01179,0.00542,0.0041
"FIN",1990,38,0.02679,0.00355,0.00746,0.00804,0.00411,0.00363
"FIN",1990,39,0.02062,0.0027,0.00549,0.00625,0.00322,0.00296
"FIN",1990,40,0.01644,0.00235,0.00406,0.00457,0.00254,0.00291
"FIN",1990,41,0.00978,0.00119,0.00202,0.00236,0.00186,0.00234
"FIN",1990,42,0.00687,0.00103,0.00169,0.00132,0.00105,0.00178
"FIN",1990,43,0.00385,0.00053,0.00062,0.00101,0.00069,0.00101
"FIN",1990,44,0.00252,0.00025,0.00052,0.00041,0.00036,0.00098
"FIN",1990,45,0.00102,0.00015,0.00015,0.00015,0.00012,0.00043
"FIN",1990,46,0.00061,0,0,0.00016,1e-04,0.00035
"FIN",1990,47,0.00011,4e-05,0,0,0,7e-05
"FIN",1990,48,3e-05,0,0,0,0,3e-05
"FIN",1990,49,0,0,0,0,0,0
"FIN",1990,50,0,0,0,0,0,0
"FIN",1990,51,0,0,0,0,0,0
"FIN",1990,52,0,0,0,0,0,0
"FIN",1990,53,0,0,0,0,0,0
"FIN",1990,54,0,0,0,0,0,0
"FIN",1990,55,0,0,0,0,0,0
"FIN",1991,12,0,0,0,0,0,0
"FIN",1991,13,0,0,0,0,0,0
"FIN",1991,14,0.00031,0.00031,0,0,0,0
"FIN",1991,15,0.00056,0.00056,0,0,0,0
"FIN",1991,16,0.00318,0.00302,0.00016,0,0,0
"FIN",1991,17,0.00879,0.00855,0.00024,0,0,0
"FIN",1991,18,0.01753,0.01591,0.00155,7e-05,0,0
"FIN",1991,19,0.03294,0.02766,0.00508,2e-04,0,0
"FIN",1991,20,0.04376,0.03483,0.00831,0.00062,0,0
"FIN",1991,21,0.0571,0.0391,0.01588,0.00202,1e-04,0
"FIN",1991,22,0.06885,0.04598,0.01922,0.0033,0.00036,0
"FIN",1991,23,0.08228,0.04964,0.02597,0.00597,0.00068,3e-05
"FIN",1991,24,0.10389,0.05955,0.03303,0.00871,0.00235,0.00025
"FIN",1991,25,0.1221,0.06828,0.04042,0.0103,0.0023,8e-04
"FIN",1991,26,0.13193,0.06789,0.04536,0.01483,0.00311,0.00074
"FIN",1991,27,0.13902,0.06421,0.05268,0.01644,0.00355,0.00215
"FIN",1991,28,0.13886,0.05678,0.05238,0.02257,0.00501,0.00212
"FIN",1991,29,0.13393,0.0485,0.05371,0.02291,0.00593,0.00288
"FIN",1991,30,0.12564,0.03947,0.04994,0.02585,0.00666,0.00372
"FIN",1991,31,0.11326,0.02989,0.04434,0.02747,0.00742,0.00414
"FIN",1991,32,0.0949,0.0238,0.0348,0.02496,0.00755,0.00379
"FIN",1991,33,0.08197,0.017,0.02941,0.02293,0.00807,0.00456
"FIN",1991,34,0.06938,0.01439,0.02265,0.02057,0.00727,0.00451
"FIN",1991,35,0.05675,0.00998,0.01771,0.01745,0.00712,0.00449
"FIN",1991,36,0.04513,0.00762,0.01308,0.0143,0.00622,0.00391
"FIN",1991,37,0.03642,0.00622,0.01077,0.01025,0.00557,0.00362
"FIN",1991,38,0.02717,0.00367,0.00781,0.00811,0.00424,0.00334
"FIN",1991,39,0.02004,0.00295,0.00481,0.0056,0.00308,0.0036
"FIN",1991,40,0.01403,0.00198,0.00347,0.00391,0.00209,0.00258
"FIN",1991,41,0.01,0.00158,0.00205,0.00253,0.00177,0.00208
"FIN",1991,42,0.00709,0.00106,0.00124,0.0014,0.00142,0.00197
"FIN",1991,43,0.00383,0.00041,0.00075,0.00073,5e-04,0.00144
"FIN",1991,44,0.00202,3e-04,0.00044,0.00048,0.00018,0.00062
"FIN",1991,45,0.00111,0.00011,0.00016,2e-04,9e-05,0.00054
"FIN",1991,46,0.00025,0,3e-05,3e-05,3e-05,0.00015
"FIN",1991,47,0.00013,0,0,0,3e-05,1e-04
"FIN",1991,48,4e-05,0,0,0,4e-05,0
"FIN",1991,49,0,0,0,0,0,0
"FIN",1991,50,0,0,0,0,0,0
"FIN",1991,51,0,0,0,0,0,0
"FIN",1991,52,0,0,0,0,0,0
"FIN",1991,53,0,0,0,0,0,0
"FIN",1991,54,0,0,0,0,0,0
"FIN",1991,55,0,0,0,0,0,0
"FIN",1992,12,0,0,0,0,0,0
"FIN",1992,13,0,0,0,0,0,0
"FIN",1992,14,0.00017,0.00017,0,0,0,0
"FIN",1992,15,0.00046,0.00046,0,0,0,0
"FIN",1992,16,0.00328,0.00325,3e-05,0,0,0
"FIN",1992,17,0.00846,0.00782,0.00064,0,0,0
"FIN",1992,18,0.0174,0.01589,0.00147,3e-05,0,0
"FIN",1992,19,0.03245,0.02734,0.00479,0.00032,0,0
"FIN",1992,20,0.04485,0.03533,0.00901,0.00044,7e-05,0
"FIN",1992,21,0.0575,0.03951,0.01628,0.00154,0.00016,0
"FIN",1992,22,0.07069,0.04492,0.02153,0.0036,0.00061,3e-05
"FIN",1992,23,0.08563,0.05115,0.02691,0.00654,0.00098,6e-05
